_id,FSAPostalCombined,Name_of_Dog,Breed,Color,Ward_Number,Ward_Name,Bite_Circumstance,Location_of_Incident,Date_of_Dangerous_Act
325,M5A 3W2,COLA,AMER BULLDOG MIX,CHOCOLATE / WHITE,13,Toronto Centre,SEVERE,OTHER PRIVATE PROPERTY,2025-05-08
326,M6K,REGGIE,CANE CORSO MIX,BR BRINDLE,10,Spadina-Fort York,NON SEVERE,PUBLIC PROPERTY,2025-05-11
327,M6E 2C7,CHAPO,AMERICAN BULLY,TAN / BROWN,09,Davenport,VERY SEVERE,PUBLIC PROPERTY,2025-05-16
328,M2H,LUCKY,BEAGLE,TRICOLOUR,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2025-05-23
329,M3M 1A7,ZEUS,AMER BULLDOG,GREY,06,York Centre,SEVERE,OTHER PRIVATE PROPERTY,2025-05-28
330,M2N 0K3,PABLO,GERM SHEPHERD,BLACK / GOLD,18,Willowdale,SEVERE,OTHER PRIVATE PROPERTY,2025-05-31
331,M6K,PRECIOUS,AMER BULLDOG / BEAGLE,TAN / WHITE,04,Parkdale-High Park,NON SEVERE,OTHER PRIVATE PROPERTY,2025-06-26
332,M3N,WILLOW,ROTTWEILER / LABRADOR RETR,BR BRINDLE / BLACK,07,Humber River-Black Creek,NON SEVERE,PUBLIC PROPERTY,2025-06-27
333,M1C 1C6,SAMMY,BULL TERRIER,BR BRINDLE / WHITE,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2025-06-28
334,M5T 1Y5,LILY,AMER BULLDOG,BLACK,11,University-Rosedale,VERY SEVERE,PUBLIC PROPERTY,2025-07-03
335,M5T 1Y5,BRUNO,AMER BULLDOG,BROWN,11,University-Rosedale,VERY SEVERE,PUBLIC PROPERTY,2025-07-03
336,M6H 2J4,BLU,AMER BULLDOG / BOXER,GREY,09,Davenport,SEVERE,OTHER PRIVATE PROPERTY,2025-07-12
337,M6H 2J4,REX,AMER BULLDOG / BOXER,GOLD / WHITE,09,Davenport,SEVERE,OTHER PRIVATE PROPERTY,2025-07-12
338,M6H 2J4,ROO,AMER BULLDOG / BOXER,BROWN / TAN,09,Davenport,SEVERE,OTHER PRIVATE PROPERTY,2025-07-12
339,M8V 1K2,MAX,AMER BULLDOG MIX,GREY,03,Etobicoke-Lakeshore,VERY SEVERE,PUBLIC PROPERTY,2025-07-14
340,M8V 1K2,KOBI,AMER BULLDOG MIX,GREY,03,Etobicoke-Lakeshore,VERY SEVERE,PUBLIC PROPERTY,2025-07-14
341,M8V 1K2,TIFFANY,AMER BULLDOG MIX,GREY,03,Etobicoke-Lakeshore,VERY SEVERE,PUBLIC PROPERTY,2025-07-14
342,M1K 4H2,ACHILLES,GERM SHEPHERD,BLACK / TAN,21,Scarborough Centre,SEVERE,OTHER PRIVATE PROPERTY,2025-07-27
343,M1J 1G4,BLISS,AMER BULLDOG,WHITE / TAN,21,Scarborough Centre,SEVERE,PUBLIC PROPERTY,2025-08-13
344,M6S 3S6,DAZS,UNKNOWN MIX,TAN,04,Parkdale-High Park,VERY SEVERE,OTHER PRIVATE PROPERTY,2025-08-15
345,M1L,KHAOS,ENG BULLDOG / AM PIT BULL TER,WHITE / BLACK,20,Scarborough Southwest,NON SEVERE,OTHER PRIVATE PROPERTY,2025-08-27
346,M8V 3L4,KOBE,AMER BULLDOG,LILAC PT / WHITE,03,Etobicoke-Lakeshore,SEVERE,OTHER PRIVATE PROPERTY,2025-09-02
347,M6G,TAWZ,GERM SHEPHERD,TAN,12,Toronto-St. Paul's,NON SEVERE,PUBLIC PROPERTY,2025-09-03
348,No FSA Info,ICEUM,AMER BULLDOG MIX,TAN / WHITE,,No Ward Info,NON SEVERE,OTHER PRIVATE PROPERTY,2025-09-15
349,M1G,BUDDY,GERM SHEPHERD / SIBERIAN HUSKY,BL BRINDLE,24,Scarborough-Guildwood,NON SEVERE,OTHER PRIVATE PROPERTY,2025-09-18
350,M1M 2E8,BUDDY,MASTIFF MIX,BROWN / WHITE,20,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,2025-10-24
351,M5V,KARMA,AMERICAN STAFF / LABRADOR RETR,SILVER / GREY,10,Spadina-Fort York,NOT A BITE,OTHER PRIVATE PROPERTY,2025-11-27
